p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
2.6913342122908258e-6,-0.6997596055645157,0.103,0.188,0.07508553318870174,TAB2
2.6977854661493914e-6,0.7058213200353054,0.482,0.423,0.07526551672010187,MACF1
2.7191053539314573e-6,-0.20226934684091358,0.888,0.92,0.07586032026933373,RPS4X
2.732202339916674e-6,-0.6655614936557993,0.107,0.192,0.07622571308133529,CSNK1G2
2.7545897791306944e-6,-0.3741051605912092,0.172,0.282,0.07685030024796724,CTBP1
2.770909330409409e-6,0.7898615346515405,0.364,0.282,0.0773055994090921,SBDS
2.7880180413533008e-6,-1.0555089066043426,0.068,0.138,0.07778291533571574,RHNO1
2.79385462847502e-6,-2.2993110056945407,0.007,0.04,0.07794575027982459,ZNF626
2.8675969280858796e-6,1.4660936306227375,0.127,0.058,0.08000308669666796,ARMCX3
2.9085314834743462e-6,-0.5575258829523349,0.155,0.253,0.08114511985745078,PTRHD1
2.9141383133061987e-6,-0.5669061481730607,0.148,0.244,0.08130154480292964,RER1
2.9323631324765235e-6,-0.3386963157243275,0.213,0.329,0.08180999903296253,LSM4
2.9517726309086545e-6,-0.6192775311772607,0.171,0.271,0.08235150462972055,PCNT
2.9518356819063375e-6,1.3341628682467803,0.168,0.091,0.08235326368950491,PRPF3
2.9713581805976834e-6,-0.2196395828467561,0.835,0.885,0.08289792188049477,TMA7
2.9752210282368617e-6,0.9409985050680147,0.338,0.255,0.0830056914667802,LINC01578
2.982610818900369e-6,-0.6218611513203846,0.154,0.25,0.0832118592365014,SPTSSA
2.9827604682651453e-6,-0.4631932671715405,0.184,0.292,0.08321603430412929,GADD45GIP1
3.070497288283017e-6,2.6304948436364537,0.071,0.019,0.08566380384580789,NOCT
3.114712609841406e-6,0.6413944766243013,0.264,0.17,0.08689736710196538,XRN1
3.134528524422785e-6,-0.5334313043449064,0.178,0.285,0.08745021130287128,ZMAT2
